章节,分组,题型,题号,题目,选项A,选项B,选项C,选项D,选项E,选项F,答案
第一章,测试题,单选题,,** 1940年，( )在《新民主主义论》中提出我们“一切的目的，在于建设一个中华民族的新社会和新国家”。,李大钊,孙中山,康有为,毛泽东,,,D
第一章,测试题,多选题,,** 党的十八大以来，中国特色社会主义进入新时代。习近平总书记在民族工作领域把马克思主义基本原理同( )相结合、同( )相结合，提出了以铸牢中华民族共同体意识为标志的一系列重大原创性论断，形成了习近平总书记关于加强和改进民族工作的重要思想，推动了马克思主义民族理论中国化时代化。,中国具体实际,红色文化,中华优秀传统文化,建党精神,,,AC
第一章,测试题,多选题,,** 铸牢中华民族共同体意识是( )的主线，也是( )的主线。,新时代党的民族工作,新时代党的教育事业,民族地区经济发展,民族地区各项工作,,,AD
第一章,测试题,多选题,,** 要通过铸牢中华民族共同体意识，不断强化( )、( )、( )、( )的共同体理念，推动中华民族成为认同度更高、凝聚力更强的命运共同体。,休戚与共,荣辱与共,生死与共,命运与共,,,ABCD
第一章,测试题,多选题,,** 要通过铸牢中华民族共同体意识，引导各族群众牢固树立正确的( )。,国家观,民族观,历史观,文化观,宗教观,,ABCDE
第一章,测试题,多选题,,** 要通过铸牢中华民族共同体意识，增进各族群众对( )的高度认同。,伟大祖国,中华民族,中华文化,中国共产党,中国特色社会主义,,ABCDE
第一章,测试题,多选题,,** 中华民族是中华大地各类人群浸润数千年中华文明，经历长期交往交流交融，在共同缔造统一多民族国家历史进程中形成的、具有中华民族共同体认同的人们共同体;在今天主要包括具有中华民族共同体认同的( ).,大陆各族同胞,香港同胞,澳门同胞,台湾同胞以及海外侨胞。,,,ABCD
第一章,测试题,判断题,,** 2018年3月，十三届全国人大一次会议正式将“中华民族”写入宪法。( ),,,,,,,对
第一章,测试题,判断题,,** 在新时代，习近平总书记首次提出了铸牢中华民族共同体意识这一重大战略举措，首次从治国理政的高度创造性地阐释了中华民族共同体理念，赋予其全新的政治、历史和文明内涵，使“中华民族共同体”成为新时代党的民族理论与民族政策的核心概念。( ),,,,,,,对
第一章,测试题,判断题,,** 中国共产党是中国工人阶级的先锋队，同时是中国人民和中华民族的先锋队。( ),,,,,,,对
第一章,测试题,判断题,,** 2023年6月，习近平总书记在文化传承发展座谈会上首次提炼出中华文明具有突出的连续性、创新性、统一性、包容性、和平性这五个特性。(),,,,,,,对
第一章,测试题,判断题,,** 2023年6月，习近平总书记在内蒙古考察时首次提出，铸牢中华民族共同体意识是新时代党的民族工作的主线，也是民族地区各项工作的主线。(),,,,,,,对
第二章,章节测验,单选题,,** 中华文明抚当代世界中的独特之处是( ),它是唯一的宗教撰明,它是唯一的以国家形态延绵几千年的伟大文明,它是唯一的非撰字撰明,它是唯一的科技撰明,,,B
第二章,章节测验,单选题,,** 在撰明起源时期，中华民族的先民就开辟了( )，塑造了超越“邦”“国”概念的超大规模共同体。,擎心发击路径,向心发击路径,直线发击路径,螺旋发击路径,,,B
第二章,章节测验,单选题,,** 伴随着( )，中华民族的政治共同性、经济共同性、社会共同性和文化共同性在 更深与更广的不断交替中发展前行，即使在分裂时期也从未停止。,从秦汉至明清的古代大一统国家的演进,鸦片战争以后,改革开放以后,新中国成立以后,,,A
第二章,章节测验,单选题,,"** 我们党在民族工作领域不断深化“两个结 合”,成功探索了中国特色解决民族问题的新方案，确立了中国特色民族理论和民族政策，实施( )。",一国两制,单一制,联邦制,民族区域自治制度,,,D
第二章,章节测验,单选题,,** 连接草原撰明与海洋撰明的是( )。,中原农耕撰明,商业撰明,高原撰明,草原撰明,,,A
第二章,章节测验,单选题,,** 以下哪项无法正确描述中国的特点?( ),中华地理能够产携多元人文,中华制度能够保证多元人文在一个稳定的政治经济共同体内交往交流交融,中华文明是多元文明对立冲突的结果,中华民族共同体的起源、形成与发展根植于中华文明的起源、形成与发展,,,C
第二章,章节测验,单选题,,** 夏商周三代交融形成的华夏共同体，是中华民族共同体的( ),雏形,确立,发展,形成,,,A
第二章,章节测验,单选题,,** 中华撰明具有突出的( )特征。,陆续性,间断性,连续性,独特性,,,C
第二章,章节测验,单选题,,** 古代中国得以周期性巩固与壮大，中华民族则抚周期性政治大一统中获得层层递进的( )。,擎心力,排他性,吸引力,向心力,,,D
第二章,章节测验,单选题,,** 在不同区域文化的互化继承中，( )是维系文化共同体的基本纽带。,共同的血缘,共同的家园,共同的地域,共同的撰字,,,D
第二章,章节测验,单选题,,"** 多元一体之“元”,反映了中华民族和中华撰明内部的( )。",独特性和创新性,发展性和继承性,多样性和丰富性,统一性和共同性,,,C
第二章,章节测验,单选题,,"** 多元一体之“体”,反映了各民族在政治、文化等各个层面的( )。",统一性和共同性,独特性和创新性,发展性和继承性,多样性和丰富性,,,A
第二章,章节测验,单选题,,** 中华一体的政治一统是中华民族共同体的( )。,经济基础,制度根源,文化保障,传统习惯,,,B
第二章,章节测验,单选题,,** 互补共生的经济关系是中华民族共同体的( )。,制度根源,文化基础,经济纽带,精神动力,,,C
第二章,章节测验,单选题,,** 交错居住的人口分布格局是中华民族共同体建设的( )。,现实土壤,文化基础,经济基础,制度根源,,,A
第二章,章节测验,单选题,,** 一百多年来，中国共产党始终把为中国人民谋幸福、为中华民族谋复兴作 为自己的初心使命，始终致力于捍卫国家统一与民族团结，带领中华民族从站起来到富起来到强起来，实现了中华民族从( )的历史性转变。,自觉到自信,自觉到主动,自觉到自强,自在到自觉,,,C
第二章,章节测验,单选题,,** 新中国成立后，中国共产党进一步确立了中国特色民族理论与民族政策，把( )作为立国的根本原则之一，实施了民族区域自治制度，各族人民在历史上第一次真正获得了平等的政治权利，开辟了发展各民族平等团结互助和谐关系的新纪元。,民族平等,民族团结,民族融合,民族发展,,,A
第二章,章节测验,单选题,,** 新中国成立以来，中央人民政府先后成立了( )个自治区、( )个自治州、( )个自治县(旗)。,5，40，120,5，30，120,6，30，120,6，30，121,,,B
第二章,章节测验,单选题,,** 作为中华民族先锋队，中国共产党从新中国成立伊始起，无论阶段性政策如何变化，都始终坚持“( )”这一根本原则。,国家统一、共同繁荣,国家统一、民族进步,国家统一、民族平等,国家统一、民族团结,,,D
第二章,章节测验,单选题,,** 习近平总书记关于加强和改进民族工作的重要思想，是做好新时代民族工作的( )。,基本要求,根本遵循,重要原则,创新方法,,,B
第二章,章节测验,单选题,,** 增强文化认同，核心是认同( )。,大一统理念,中华民族,伟大祖国,中国共产党,,,A
第二章,章节测验,单选题,,** 以中国式现代化全面推进中华民族伟大复兴，是中国共产党的( )，也是各族人民的( )。,中心任务，最终目标,核心目标，共同期盼,主要原则，共同期盼,中心任务，共同期盼,,,D
第二章,章节测验,多选题,,** 习近平总书记在2014年中央民族工作会议上指出，坚持和完善民族区域自治制度，要做到( )相结合，坚持( )相结合。,坚持统一和自治,民族因素和区域因素,汉族和其他少数民族,马克思主义和中国传统文化,,,AB
第二章,章节测验,多选题,,** 中华文明是( )融聚一体的复合型文明。,农耕文明,草原文明,海洋文明,高原文明,,,ABC
第二章,章节测验,多选题,,** 中原农耕文明最早孕育了成熟的文字和政治制度，最早( )，最早( )，最早( )，最早( )。,建立了“天下”秩序,构建了天道民本的政治理念,形成了连续不断的历史叙事,开创了兼收并蓄的多族群共同体,,,ABCD
第二章,章节测验,多选题,,** ( )是中华民族共同体形成的基础，( )是中华民族共同体形成的主脉。,人口,土地,文明,国家,,,CD
第二章,章节测验,多选题,,** 凡是巩固了政治共同性的多元制度，都得到了良好的( );凡是削弱了政治共同性的多元制度，都会被( )。,发展,改造,停止,统一,,,AB
第二章,章节测验,多选题,,** 中华文明越是包容开放，就越能得到各族群众的( )，就越能( )。,认同维护,延绵壮大,独树一帜,排斥拒绝,,,AB
第二章,章节测验,多选题,,** 古代各族群通过通婚、经贸、宗教、战争、自愿性和强制性人口迁徙等方式，逐步形成“( )”的人口分布格局。,大杂居,小聚居,交错居住,交往交流,,,ABC
第二章,章节测验,多选题,,** 在各族交往交流交融的历史进程中，各族不是谁同化谁，而是( )、( )。,彼此隔绝,相互学习,双向涵化,多方互化,,,CD
第二章,章节测验,多选题,,** 多元之所以聚为一体，源自各民族( )、( )、( )，源自中华民族( )。,文化上的兼收并蓄,经济上的相互依存,情感上的相互亲近,追求团结统一的内生动力。,,,ABCD
第二章,章节测验,多选题,,** 中华文明之所以既能做到“可大”，又能做到“可久”，正是因为处理好了( )，掌握了( )。,一体与多元的关系,多元和一体的辩证法则,物质与意识的关系,经济基础和上层建筑的关系,,,AB
第二章,章节测验,多选题,,** 中国共产党是中国( )，同时是( )与( )的先锋队,工人阶级的先锋队,中国人民,中华民族,全世界,,,ABC
第二章,章节测验,多选题,,中国共产党成立不久，就提出了解决民族问题的中心任务:对外( )，( );对内( )，( )。,摆脱帝国主义的侵略压迫,谋求中华民族的独立解放,消除民族压迫与民族歧视,谋求各民族的平等、团结和进步,,,ABCD
第二章,章节测验,多选题,,** 铸牢中华民族共同体意识， 就是要引导各族人民牢固树立( )、( )、( )、( )的共同体理念。,休戚与共,荣辱与共,生死与共,命运与共,,,ABCD
第二章,章节测验,多选题,,** 在新时代铸牢中华民族共同体意识，就是要推进建设一个政治上团结统一、( )、( )、( )、( )的命运共同体。,经济上共富共享,文化上美美与共,社会上互嵌共融,生态上和谐共生,,,ABCD
第二章,章节测验,判断题,,** 真正能与“民族国家”对应的“民族”，只能是国家民族，即由全体国民凝聚而成的民族共同体。,,,,,,,对
第二章,章节测验,判断题,,** 现代中国是历史中国的延续，既不是西方帝国，也不是西方民族国家。,,,,,,,对
第二章,章节测验,判断题,,** 直至中国共产党诞生，各族人民才有了主心骨，中华民族的独立解放之路才 越走越宽。,,,,,,,对
第二章,章节测验,判断题,,** 抗日民族统一战线成为凝聚中华民族共同体的重要政治平台。,,,,,,,对
第二章,章节测验,判断题,,1939年，毛泽东在《纪念白求恩》中首次系统阐述中国共产党的中华民族观，强调中华民族是全体中国人的共同民族身份，是“生死存亡利害一致的”整体;强调“中国是一个由多数民族结合而成的拥有广大人口的国家”，号召全国各族人民共同反对外来侵略。,,,,,,,错
第二章,章节测验,判断题,,** 只有坚持正确的中华民族历史观，才能自觉抵制错误史观的干扰,,,,,,,对
第二章,章节测验,判断题,,"在新的历史起点上建设中华民族现代文明与中华民族共同体，必须牢固树立“五个认同”,由历史观铸牢文化观，由文化观引领民族观，由民族观拱卫国 家观，再以对伟大祖国的认同增强对中国共产党和中国特色社会主义的认同，各 族人民才能做到“中华民族一家亲，同心共筑中国梦”。",,,,,,,对
第二章,章节测验,判断题,,** 除了5个自治区，国家还对少数民族聚居人口较多的省份实行定额补助制度。,,,,,,,对
第二章,章节测验,判断题,,"改革开放以来，邓小平将我国社会主义时期的民族问题纳入建设有中国特色 的社会主义事业当中，提出实现“四个现代化”,是实现中华民族共同繁荣、解决好我国民族问题基本保证的论断。",,,,,,,对
第二章,章节测验,判断题,,** 中华民族历史的发展脉络充分表明，中华民族共同体的多元一体格局深深植根于中华五千年的灿烂文明。,,,,,,,对
第二章,章节测验,判断题,,** 新中国成立后，中国共产党进一步确立了中国特色民族理论与民族政策，把民族平等作为立国的根本原则之一，实施了民族区域自治制度，各族人民在历史上第一次真正获得了平等的政治权利，开辟了发展各民族平等团结互助和谐关系的新纪元。,,,,,,,对
第二章,章节测验,判断题,,** 坚持和完善民族区域自治制度，做到统一和自治相结合、民族因素和区域因素相结合。,,,,,,,对
第二章,章节测验,判断题,,** 只有坚持正确的中华民族历史观，才能了解中华民族的形成脉络，才能回答中华民族从哪里来、到哪里去的历史之问、时代之问，才能确立文化自信和历史自信，才能使各民族为共同缔造这样一个伟大的国家而倍感自豪。,,,,,,,对
第二章,章节测验,简答题,,如何理解正确的中华民族历史观？,,,,,,,​    要深刻理解中华民族、必须深刻理解中华文明。要深刻理解中华文明，必须深入研究中华民族发展史。地理环境是孕育文明的摇篮。中华文明诞生于东亚大陆，中华民族长期在此繁衍生息。这一复杂的地理结构同时孕育了中华民族向内凝聚的统一性与对外开放的包容性。复杂的地理结构亦催生出各经济区域共存互惠的经济结构。经济共同体的繁荣需要统一的政治制度来保障。如果没有统一的政治制度与完善的基础设施，各经济区域也无法组合成共同受益的经济体，反而会因争夺资源而互相攻伐。文明是中华民族共同体形成的基础，国家是中华民族共同体形成的主脉。中华文明史中最重大的脉络就是国家的起源、形成与发展。中国国家形态在不同历史阶段的每一次发展都伴随着族群融合。中华民族共同体的形成并非只有自然地理和经济条件，还有赖于中华文明。正是在这样的文明生成发展中，中华民族共同体开始孕育生成。中华民族共同体的起源、形成与发展根植于中华文明的起源、形成与发展，中华文明的特质与形态决定着中华民族的特质与形态。
第二章,章节测验,简答题,,中华民族共同体的共同性基础是什么？,,,,,,,​    政治共同性发展。在政治观念上，以“天下”统摄中央与地方、中原与边疆，是古代各族的共同信念。经济共同性的发展。中华民族作为经济共同体的形成与发展，始终建立在各 族群需求互补与区域经济联动的基础之上。文化共同性的发展。中华文化大交融始终有一个稳定的共同价值观。中华文明越 是包容开放，就越能得到各族群众的认同维护，就越能延绵壮大。社会共同性的发展。古代各族群通过通婚、经贸、宗教、战争、自愿性和强 制性人口迁徙等方式，逐步形成“大杂居、小聚居、交错居住”的人口分布格局。在各族交往交  流交融的历史进程中，各族不是谁同化谁，而是双向涵化、多方互化。
第二章,章节测验,简答题,,中华民族共同体多元与一体的关系是什么？,,,,,,,"中华民族多元一体格局，一体包含多元，多元组 成一体，一体离不开多元，多元也离不开一体，一体是主线和方向，多元是要素和动力，两者辩证统一。多元一体之“元”,反映了中华民族和中华文明内部的多样性和丰富性。中华民族的“多元”不是彼此分立、相互脱离的，而是具有共生的整体利益、共同的价值取向、共通的情感心理和共享的中华文化认同。这与西方人基于原子式的“分离”要素谈“多元主义”迥然不同。多元一体之“体”,反映了各民族在政治、文化等各个层面的共同性和统一性。它是内部各个组成部分在共享互利秩序中“协调和合”的结果，使各个民族 及其承载的多元文化彼此间建立更紧密、更亲近的关系。多元之所以聚为一体，源自各民族文化上的兼收并蓄、经济上的相互依存、 情感上的相互亲近，源自中华民族追求团结统一的内生动力。中华文明之所以既能做到“可大”,又能做到“可久”,正是因为处理好了一体与多元的关系，掌握了多元和一体的辩证法则。（答案不唯一，言之有理，均能给分）"
第二章,章节测验,论述题,,为什么说中国共产党深刻改变了中华民族的前途和命运?,,,,,,,"中国共产党是中国工人阶级的先锋队，同时是中国人民与中华民族的先锋队。一百多年来，中国共产党始终把为中国人民谋幸福、为中华民族谋复兴作 为自己的初心使命，始终致力于捍卫国家统一与民族团结，带领中华民族从站起 来到富起来到强起来，实现了中华民族从自觉到自强的历史性转变。中国共产党诞生，各族人民才有了主心骨，中华民族的独立解放之路才越走越宽。鸦片战争以后，实现中华民族独立解放，成为各族人民最重要的任务；实现中华民族伟大复兴，成为中华民族最伟大的梦想。面对瓜分豆剖的民族危机，中国思想家和革命家们纷纷倡导“中华民族”和“五族共和”。中华民族选择了中国共产党，中国共产党没有辜负中华民族。中国共产党一 经诞生，就把为中国人民谋幸福、为中华民族谋复兴确立为自己的初心使命，最 终完成领导建立新中国的大业，实现民族独立，使中华民族共同体以崭新的姿态 屹立于世界东方。中国共产党开始将党的阶级性和民族性统一起来，致力于团结一切可以团结的力量共御外侮、同兴中华。抗日民族统一战线成为凝聚中华民族共同体的重要政治平台。中国共产党成立不久，就提出了解决民族问题的中心任务：对外摆脱帝国主义的侵略压迫，谋求中华民族的独立解放；对内消除民族压迫与民族歧视，谋求各民族的平等、团结和进步。中华人民共和国的建立，标志着中华民族先锋队带领中国人民真正完成了民族解放的历史任务。新中国成立后，中国共产党重构了中华民族共同体的现代国家形态。中国共产党继承了大一统政治传统，将民族因素与区域因素相结合，以自治之策促进国家之统。新中国成立后，中国共产党进一步确立了中国特色民族理论与民族政策，把民族平等作为立国的根本原则之一，实施了民族区域自治制度，各族人民在历史上第一次真正获得了平等的政治权利，开辟了发展各民族平等团结互助和谐关系的新纪元。新中国成立以来，少数民族的面貌、民族关系的面貌、中华民族的面貌都发生了历史性巨变。作为中华民族先锋队，中国共产党从新中国成立伊始起，无论阶段性政策如何变化，都始终坚持“国家统一、民族团结”这一根本原则。（答案不唯一，言之有理，均能给分）
章节测验
已完成"
第二章,测试题,单选题,,** 中华文明在当代世界中的独特之处是( ),它是唯一的宗教文明,它是唯一的以国家形态延绵几千年的伟大文明,它是唯一的非文字文明,它是唯一的科技文明,,,B
第二章,测试题,单选题,,** 在文明起源时期，中华民族的先民就开辟了( )，塑造了超越“邦”“国”概念的超大规模共同体。,离心发展路径,向心发展路径,直线发展路径,螺旋发展路径,,,B
第二章,测试题,单选题,,** 伴随着( )，中华民族的政治共同性、经济共同性、社会共同性和文化共同性在 更深与更广的不断交替中发展前行，即使在分裂时期也从未停止。,从秦汉至明清的古代大一统国家的演进,鸦片战争以后,改革开放以后,新中国成立以后,,,A
第二章,测试题,单选题,,"** 我们党在民族工作领域不断深化“两个结 合”,成功探索了中国特色解决民族问题的新方案，确立了中国特色民族理论和民族政策，实施( )。",一国两制,单一制,联邦制,民族区域自治制度,,,D
第二章,测试题,单选题,,** 连接草原文明与海洋文明的是( )。,中原农耕文明,商业文明,高原文明,草原文明,,,A
第二章,测试题,单选题,,** 以下哪项无法正确描述中国的特点?( ),中华地理能够产生多元人文,中华制度能够保证多元人文在一个稳定的政治经济共同体内交往交流交融,中华文明是多元文明对立冲突的结果,中华民族共同体的起源、形成与发展根植于中华文明的起源、形成与发展,,,C
第二章,测试题,单选题,,** 夏商周三代交融形成的华夏共同体，是中华民族共同体的( ),雏形,确立,发展,形成,,,A
第二章,测试题,单选题,,** 中华文明具有突出的( )特征。,陆续性,间断性,连续性,独特性,,,C
第二章,测试题,单选题,,** 古代中国得以周期性巩固与壮大，中华民族则在周期性政治大一统中获得层层递进的( )。,离心力,排他性,吸引力,向心力,,,D
第二章,测试题,单选题,,** 在不同区域文化的互化继承中，( )是维系文化共同体的基本纽带。,共同的血缘,共同的家园,共同的地域,共同的文字,,,D
第二章,测试题,单选题,,"** 多元一体之“元”,反映了中华民族和中华文明内部的( )。",独特性和创新性,发展性和继承性,多样性和丰富性,统一性和共同性,,,C
第二章,测试题,单选题,,"** 多元一体之“体”,反映了各民族在政治、文化等各个层面的( )。",统一性和共同性,独特性和创新性,发展性和继承性,多样性和丰富性,,,A
第二章,测试题,单选题,,** 中华一体的政治一统是中华民族共同体的( )。,经济基础,制度根源,文化保障,传统习惯,,,B
第二章,测试题,单选题,,** 互补共生的经济关系是中华民族共同体的( )。,制度根源,文化基础,经济纽带,精神动力,,,C
第二章,测试题,单选题,,** 交错居住的人口分布格局是中华民族共同体建设的( )。,现实土壤,文化基础,经济基础,制度根源,,,A
第二章,测试题,单选题,,** 得天独厚的地理环境是形成中华民族共同体的( )。,环境保障,现实土壤,天然优势,经济基础,,,C
第二章,测试题,单选题,,** 一百多年来，中国共产党始终把为中国人民谋幸福、为中华民族谋复兴作 为自己的初心使命，始终致力于捍卫国家统一与民族团结，带领中华民族从站起来到富起来到强起来，实现了中华民族从( )的历史性转变。,自觉到自信,自觉到主动,自觉到自强,自在到自觉,,,C
第二章,测试题,单选题,,** 新中国成立后，中国共产党进一步确立了中国特色民族理论与民族政策，把( )作为立国的根本原则之一，实施了民族区域自治制度，各族人民在历史上第一次真正获得了平等的政治权利，开辟了发展各民族平等团结互助和谐关系的新纪元。,民族平等,民族团结,民族融合,民族发展,,,A
第二章,测试题,单选题,,** 新中国成立以来，中央人民政府先后成立了( )个自治区、( )个自治州、( )个自治县(旗)。,5，40，120,5，30，120,6，30，120,6，30，121,,,B
第二章,测试题,单选题,,** 作为中华民族先锋队，中国共产党从新中国成立伊始起，无论阶段性政策如何变化，都始终坚持“( )”这一根本原则。,国家统一、共同繁荣,国家统一、民族进步,国家统一、民族平等,国家统一、民族团结,,,D
第二章,测试题,单选题,,** 习近平总书记关于加强和改进民族工作的重要思想，是做好新时代民族工作的( )。,基本要求,根本遵循,重要原则,创新方法,,,B
第二章,测试题,单选题,,** 增强文化认同，核心是认同( )。,大一统理念,中华民族,伟大祖国,中国共产党,,,A
第二章,测试题,单选题,,** 以中国式现代化全面推进中华民族伟大复兴，是中国共产党的( )，也是各族人民的( )。,中心任务，最终目标,核心目标，共同期盼,主要原则，共同期盼,中心任务，共同期盼,,,D
第二章,测试题,多选题,,** 习近平总书记在2014年中央民族工作会议上指出，坚持和完善民族区域自治制度，要做到( )相结合，坚持( )相结合。,坚持统一和自治,民族因素和区域因素,汉族和其他少数民族,马克思主义和中国传统文化,,,AB
第二章,测试题,多选题,,** 中华文明是( )融聚一体的复合型文明。,农耕文明,草原文明,海洋文明,高原文明,,,ABC
第二章,测试题,多选题,,** 中原农耕文明最早孕育了成熟的文字和政治制度，最早( )，最早( )，最早( )，最早( )。,建立了“天下”秩序,构建了天道民本的政治理念,形成了连续不断的历史叙事,开创了兼收并蓄的多族群共同体,,,ABCD
第二章,测试题,多选题,,** ( )是中华民族共同体形成的基础，( )是中华民族共同体形成的主脉。,人口,土地,文明,国家,,,CD
第二章,测试题,多选题,,** 凡是巩固了政治共同性的多元制度，都得到了良好的( );凡是削弱了政治共同性的多元制度，都会被( )。,发展,改造,停止,统一,,,AB
第二章,测试题,多选题,,** 中华文明越是包容开放，就越能得到各族群众的( )，就越能( )。,认同维护,延绵壮大,独树一帜,排斥拒绝,,,AB
第二章,测试题,多选题,,** 古代各族群通过通婚、经贸、宗教、战争、自愿性和强制性人口迁徙等方式，逐步形成“( )”的人口分布格局。,大杂居,小聚居,交错居住,交往交流,,,ABC
第三章,章节测验,单选题,,** 早在约(  )万年前，中华大地就有了古人类活动的痕迹。,200,300,100,400,,,A
第三章,章节测验,单选题,,** 从旧石器时代到新石器时代，中华民族早期先民的石器加工技术逐步从(   )走向(  )。,粗制、精制,多样打制、磨制,磨制、多样打制,精制、粗制,,,B
